sentence,sentiment,pred_sentiment,net_score
VIVUS $VVUS bear raid in effect. Stock down 12%,negative,neutral,0
"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",positive,neutral,0
"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",positive,neutral,0
"zip , '' experts warned Tuesday .",neutral,negative,-1
Tesco shareholders back ITV head for chairman,positive,neutral,0
"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",positive,neutral,0
"The parties have also agreed that L+ñnnen Tehtaat has the right to sell the remaining shares in Suomen Rehu to Hankkija-Maatalous 15 months after the purchase of the majority holding , at the earliest .",neutral,negative,-1
"The developers of that project predict that once it is completed in April 2009 , Skanssi will attract some 4.5 million visitors annually .",positive,neutral,0
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",negative,neutral,0
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,neutral,0
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral,positive,1
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative,neutral,0
"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",positive,neutral,0
"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device .",neutral,positive,1
"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies",positive,neutral,0
Can Christmas Save Sainsbury's plc And Tesco plc?,negative,neutral,0
The company will propose a dividend of EUR0 .12 per share for 2008 .,neutral,positive,1
$AMCN pushing highs,positive,neutral,0
$AAPL wants lower. up waves getting smaller on the 2 min,negative,neutral,0
Tesco sells Blinkbox and broadband service to TalkTalk,positive,neutral,0
"- Demand for fireplace products was lower than expected , especially in Germany .",negative,neutral,0
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",neutral,negative,-1
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,positive,neutral,0
"UK housing market steadies after Brexit dip, Persimmon says",positive,neutral,0
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,neutral,0
"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,neutral,0
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",neutral,negative,-1
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",negative,neutral,0
@mugatushair Now it is time to short $TSLA,negative,neutral,0
"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",negative,neutral,0
The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,neutral,positive,1
"The total floor area of the plant expansion is 29,000 square metres .",neutral,positive,1
"$DNN picked some up, like this going into 2014",positive,neutral,0
"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",negative,neutral,0
The phones are targeted at first time users in growth markets .,neutral,positive,1
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",negative,neutral,0
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,neutral,0
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,neutral,0
$FB Nice buyable intraday dip right here,positive,neutral,0
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",positive,neutral,0
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,neutral,0
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,neutral,positive,1
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,neutral,positive,2
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,neutral,0
Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,neutral,positive,1
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,neutral,positive,1
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,neutral,0
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,negative,neutral,0
"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",neutral,positive,1
"NAVTEQ has a commanding lead in installed map data systems in North American vehicles and may be the leader in turn-by-turn navigation data offered by services such as OnStar in North America , said analyst Phil Magney of Telematics Research Group in Minnetonka , Minn. .",positive,neutral,0
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,neutral,0
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral,positive,1
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,negative,-1
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral,negative,-1
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative,neutral,0
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,positive,1
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,positive,1
$NFLX I say it's time to short at this point.,negative,neutral,0
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,neutral,negative,-1
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral,negative,-1
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative,neutral,0
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative,neutral,0
A 2001 agreement expired earlier this month .,neutral,positive,1
loading $SPY and $AAPL puts. think were toppy IMHO.,negative,neutral,0
"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,neutral,0
"$AAPL double bottom could be in, keep in mind",positive,neutral,0
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",neutral,positive,1
GSK and Novartis complete deals to reshape both drugmakers,positive,neutral,0
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,neutral,0
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral,positive,1
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",negative,neutral,0
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive,neutral,0
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive,neutral,0
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive,neutral,0
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,positive,1
Viking Line manages well with its current ferries .,positive,neutral,0
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,negative,-1
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral,positive,2
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,neutral,0
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive,negative,-1
Seat belt recall? who cares....  I'm a buyer $TSLA,positive,neutral,0
Randgold profit hit by poor gold price but dividend still increases,neutral,positive,2
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative,positive,1
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive,neutral,0
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",negative,neutral,0
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,neutral,0
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,positive,1
$SPY bull move ended waiting for next setup,negative,neutral,0
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,positive,neutral,0
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,positive,1
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,negative,-1
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",neutral,negative,-2
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,neutral,0
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral,positive,1
"We are very pleased with the fine co-operation between the two countries in recent times , he said .",positive,negative,-1
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive,neutral,0
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive,neutral,0
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive,neutral,0
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive,neutral,0
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",neutral,positive,2
Reed Elsevier share price slides on underwhelming full-year results,negative,neutral,0
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,neutral,0
The estimated value of the deal is USD 9.2 million .,neutral,positive,1
$tsla bad day to short,positive,negative,-1
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive,neutral,0
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive,neutral,0
$NUGT Gold above 1400...wow,positive,neutral,0
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,neutral,negative,-1
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive,neutral,0
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,positive,neutral,0
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,neutral,0
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,neutral,negative,-1
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,neutral,0
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",neutral,positive,1
Sophos aims to raise $100m in London IPO,positive,neutral,0
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral,positive,1
"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .",positive,neutral,0
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,positive,1
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,neutral,positive,1
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,neutral,positive,1
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",negative,positive,1
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral,positive,1
"`` The number of collection errors fell considerably , and operations speeded up .",positive,negative,-1
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,neutral,positive,1
"Broker tips: RBS, Croda, Sage",positive,neutral,0
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive,neutral,0
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive,neutral,0
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",negative,neutral,0
The contract includes heating plant equipment and associated installation work .,neutral,positive,1
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,positive,neutral,0
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",negative,neutral,0
"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",positive,neutral,0
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral,positive,1
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,neutral,positive,2
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,positive,neutral,0
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,neutral,positive,1
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",negative,neutral,0
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,neutral,0
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,positive,1
Barclays appoints JPMorgan's Paul Compton as new COO,neutral,positive,1
"$AAPL bounces off support, it seems",positive,neutral,0
$MTD (Mettler-Toledo) ready for a breakout,positive,neutral,0
"HSBC shakes up board with two new business chiefs, three departures",neutral,positive,1
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",neutral,negative,-1
The EUR17m contract includes both design and construction works .,neutral,positive,1
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative,positive,2
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",neutral,negative,-1
"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",neutral,positive,1
"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",positive,neutral,0
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",positive,negative,-1
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative,positive,1
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral,positive,1
They are also upset that some of the machinery and work is taken over to Poland .,negative,neutral,0
$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,negative,neutral,0
Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,positive,neutral,0
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",positive,neutral,0
U.S. Debt Lures Schroders as ECB Depresses Rates,neutral,negative,-1
"Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology , which has been developed jointly by Eesti Energia and Outotec .",neutral,positive,1
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",positive,neutral,0
This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,positive,neutral,0
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative,neutral,0
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",negative,neutral,0
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,neutral,positive,1
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",neutral,positive,1
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,positive,1
The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,neutral,negative,-1
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative,neutral,0
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",neutral,negative,-1
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,negative,positive,1
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",neutral,positive,1
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative,positive,1
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,neutral,0
The company expects its net sales for the whole 2009 to remain below the 2008 level .,neutral,negative,-1
"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",neutral,positive,1
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,positive,neutral,0
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",negative,neutral,0
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",negative,neutral,0
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,neutral,0
$BIOC RSI extremely in long's favor looking at BIOC historically.,positive,neutral,0
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,neutral,positive,1
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",neutral,negative,-1
$YHOO About to break out on the 5-min...,positive,neutral,0
AB InBev attacks SABMiller bid rebuffal,negative,neutral,0
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,negative,neutral,0
$BBRY nice bounce,positive,neutral,0
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''",neutral,negative,-1
$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,positive,neutral,0
AstraZeneca diabetes drug combination faces delay after FDA rebuff,negative,neutral,0
Scanfil issued a profit warning on 10 April 2006 .,negative,neutral,0
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",neutral,negative,-1
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative,neutral,0
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",neutral,positive,2
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral,positive,1
The company expects sales revenue of RMB8 .0 billion in 2009 .,neutral,positive,1
"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",positive,neutral,0
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,negative,neutral,0
Sales by Seppala diminished by 6 per cent .,negative,neutral,0
$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,positive,neutral,0
"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .",neutral,positive,2
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative,neutral,0
BG Group Still Happy With Shell's $70 Billion Offer,positive,neutral,0
@ACInvestorBlog: $SPY eod run :),positive,neutral,0
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,neutral,positive,1
Tullow Oil Suspends Dividend Amid Oil Price Fall,negative,neutral,0
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",neutral,negative,-1
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",neutral,positive,1
RT @ACInvestorBlog $AAPL still on track for $500,positive,neutral,0
Each year the dividend is deducted from the subscription price .,neutral,positive,1
"In addition , the contract includes modification of the effluent treatment plant at Follum .",neutral,positive,1
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,neutral,0
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,negative,neutral,0
"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",neutral,positive,1
$CTRP breaking out https://t.co/Z2je3rTKch,positive,neutral,0
$SIGA Bid for Reargument Denied by Judge,negative,neutral,0
"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",positive,neutral,0
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,positive,neutral,0
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,negative,-2
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative,neutral,0
Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) reported on Friday ( 15 August ) an operating profit of EUR65 .0 m on net sales of EUR342 .9 m for the period January-June 2008 .,neutral,positive,1
$BBRY lets see 14+ today,positive,neutral,0
$vxx adding to position here !,positive,neutral,0
Auto Trader share price surges as company floats on LSE,positive,neutral,0
"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",positive,neutral,0
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,neutral,0
An Apple spokeswoman said the company declined to comment .,neutral,negative,-1
"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",neutral,negative,-1
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,neutral,0
DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,positive,neutral,0
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",neutral,positive,1
$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative,neutral,0
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative,neutral,0
The sale of the Healthcare Trade business supports Oriola-KD 's strategy to focus on Pharmaceutical Wholesale and Retail businesses .,positive,neutral,0
- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive,neutral,0
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,neutral,0
"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",negative,neutral,0
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive,negative,-1
"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",neutral,positive,1
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",neutral,positive,1
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,positive,negative,-2
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",neutral,negative,-1
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,negative,neutral,0
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,negative,neutral,0
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present .,neutral,positive,1
Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,neutral,positive,1
$SAVE long. https://t.co/yEJuS9cMlC,positive,neutral,0
Our superior customer centricity and expertise in digital services set us apart from our competitors .,positive,neutral,0
Unit costs for flight operations fell by 6.4 percent .,positive,negative,-1
The contract is for next year .,neutral,positive,1
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative,neutral,0
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",neutral,positive,1
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,positive,neutral,0
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore .",neutral,positive,1
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",negative,neutral,0
Johnson Matthey revs up on clean air drive,positive,neutral,0
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,neutral,negative,-1
The dividend will come on top of the 0.45 eur on A shares and 0.43 on K shares it has already paid on last year 's accounts .,neutral,positive,1
"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",positive,negative,-1
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",neutral,positive,1
"For 2009 , net profit was EUR 3 million and the company paid a dividend of EUR 1.30 apiece .",neutral,positive,2
The category was marked by maturity and the recession .,neutral,negative,-1
"Went long on this $COG, will see 70's again me thinks",positive,neutral,0
The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market .,positive,neutral,0
"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",neutral,positive,1
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive,negative,-1
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,neutral,0
Finnish consumers prefer to buy the cheapest beer brand .,neutral,positive,1
